"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"59","age 65-69","lvl 4","4 %","1 %","4 %","8 %","7 %"
"60","age 65-69","lvl 5","0 %","1 %","0 %","2 %","4 %"
"61","age 70-74","lvl 1","78 %","76 %","69 %","60 %","55 %"
"62","age 70-74","lvl 2","15 %","12 %","20 %","21 %","19 %"
"63","age 70-74","lvl 3","5 %","7 %","7 %","13 %","15 %"
"64","age 70-74","lvl 4","3 %","4 %","1 %","5 %","7 %"
"65","age 70-74","lvl 5","0 %","1 %","2 %","1 %","3 %"
"66","age 75-79","lvl 1","72 %","64 %","62 %","55 %","49 %"
"67","age 75-79","lvl 2","17 %","21 %","19 %","13 %","19 %"
"68","age 75-79","lvl 3","7 %","13 %","12 %","16 %","17 %"
"69","age 75-79","lvl 4","1 %","2 %","5 %","10 %","13 %"
"70","age 75-79","lvl 5","3 %","0 %","1 %","6 %","3 %"
"71","age 80-84","lvl 1","53 %","55 %","44 %","49 %","43 %"
"72","age 80-84","lvl 2","27 %","25 %","34 %","31 %","17 %"
"73","age 80-84","lvl 3","14 %","11 %","13 %","14 %","24 %"
"74","age 80-84","lvl 4","3 %","8 %","9 %","4 %","8 %"
"75","age 80-84","lvl 5","3 %","1 %","0 %","2 %","9 %"
"76","age 85-89","lvl 1","40 %","53 %","34 %","28 %","30 %"
"77","age 85-89","lvl 2","38 %","20 %","21 %","22 %","21 %"
"78","age 85-89","lvl 3","15 %","14 %","29 %","25 %","14 %"
"79","age 85-89","lvl 4","7 %","13 %","9 %","21 %","22 %"
"80","age 85-89","lvl 5","0 %","0 %","7 %","4 %","12 %"
"81","age 90+","lvl 1","38 %","33 %","34 %","36 %","51 %"
"82","age 90+","lvl 2","28 %","24 %","38 %","30 %","8 %"
"83","age 90+","lvl 3","16 %","38 %","20 %","11 %","22 %"
"84","age 90+","lvl 4","19 %","5 %","8 %","17 %","10 %"
"85","age 90+","lvl 5","0 %","0 %","0 %","7 %","9 %"
