"","age5","level","value.Least deprived","value.Less deprived","value.Median deprived","value.More deprieved","value.Most deprived"
"36","age 45-49","lvl 1","91 %","79 %","78 %","80 %","65 %"
"37","age 45-49","lvl 2","7 %","10 %","14 %","9 %","18 %"
"38","age 45-49","lvl 3","2 %","6 %","6 %","4 %","8 %"
"39","age 45-49","lvl 4","0 %","5 %","1 %","5 %","10 %"
"40","age 45-49","lvl 5","0 %","0 %","1 %","1 %","0 %"
"41","age 50-54","lvl 1","82 %","84 %","81 %","69 %","65 %"
"42","age 50-54","lvl 2","10 %","7 %","8 %","20 %","14 %"
"43","age 50-54","lvl 3","4 %","6 %","5 %","6 %","11 %"
"44","age 50-54","lvl 4","3 %","2 %","5 %","5 %","9 %"
"45","age 50-54","lvl 5","1 %","1 %","1 %","0 %","2 %"
"46","age 55-59","lvl 1","85 %","77 %","78 %","71 %","65 %"
"47","age 55-59","lvl 2","10 %","13 %","13 %","12 %","15 %"
"48","age 55-59","lvl 3","4 %","7 %","5 %","9 %","10 %"
"49","age 55-59","lvl 4","1 %","3 %","4 %","7 %","10 %"
"50","age 55-59","lvl 5","0 %","0 %","0 %","2 %","1 %"
"51","age 60-64","lvl 1","76 %","75 %","73 %","59 %","48 %"
"52","age 60-64","lvl 2","14 %","13 %","16 %","16 %","19 %"
"53","age 60-64","lvl 3","7 %","5 %","7 %","17 %","14 %"
"54","age 60-64","lvl 4","3 %","6 %","3 %","5 %","18 %"
"55","age 60-64","lvl 5","0 %","1 %","1 %","2 %","1 %"
"56","age 65-69","lvl 1","77 %","76 %","75 %","58 %","51 %"
"57","age 65-69","lvl 2","10 %","16 %","12 %","20 %","14 %"
"58","age 65-69","lvl 3","8 %","4 %","7 %","11 %","20 %"
"59","age 65-69","lvl 4","5 %","4 %","6 %","11 %","14 %"
"60","age 65-69","lvl 5","0 %","0 %","0 %","0 %","1 %"
"61","age 70-74","lvl 1","73 %","68 %","64 %","58 %","47 %"
"62","age 70-74","lvl 2","15 %","15 %","17 %","19 %","19 %"
"63","age 70-74","lvl 3","6 %","12 %","11 %","16 %","18 %"
"64","age 70-74","lvl 4","6 %","4 %","7 %","6 %","16 %"
"65","age 70-74","lvl 5","0 %","1 %","1 %","1 %","0 %"
"66","age 75-79","lvl 1","61 %","58 %","53 %","49 %","34 %"
"67","age 75-79","lvl 2","21 %","19 %","24 %","13 %","33 %"
"68","age 75-79","lvl 3","11 %","13 %","13 %","19 %","14 %"
"69","age 75-79","lvl 4","7 %","9 %","9 %","18 %","19 %"
"70","age 75-79","lvl 5","1 %","1 %","0 %","0 %","0 %"
"71","age 80-84","lvl 1","48 %","46 %","36 %","37 %","30 %"
"72","age 80-84","lvl 2","22 %","19 %","32 %","26 %","31 %"
"73","age 80-84","lvl 3","18 %","19 %","22 %","24 %","15 %"
"74","age 80-84","lvl 4","12 %","16 %","9 %","13 %","24 %"
"75","age 80-84","lvl 5","0 %","0 %","2 %","0 %","0 %"
"76","age 85-89","lvl 1","37 %","28 %","20 %","13 %","30 %"
"77","age 85-89","lvl 2","35 %","39 %","25 %","14 %","20 %"
"78","age 85-89","lvl 3","18 %","23 %","37 %","45 %","20 %"
"79","age 85-89","lvl 4","10 %","7 %","14 %","24 %","30 %"
"80","age 85-89","lvl 5","0 %","3 %","4 %","4 %","0 %"
"81","age 90+","lvl 1","27 %","40 %","29 %","10 %","21 %"
"82","age 90+","lvl 2","23 %","18 %","34 %","45 %","19 %"
"83","age 90+","lvl 3","21 %","6 %","29 %","21 %","40 %"
"84","age 90+","lvl 4","30 %","36 %","8 %","17 %","20 %"
"85","age 90+","lvl 5","0 %","0 %","0 %","7 %","0 %"
